text,label
[Phòng Đào tạo UIT] KHẨN CẤP: Tài khoản sinh viên của bạn sẽ bị khóa trong 24 giờ. Vui lòng xác minh ngay tại http://uit-edu-vn-login.verify-account.com,phishing
Tài khoản email trường của bạn đã bị đăng nhập trái phép. Đăng nhập lại ngay để bảo vệ tài khoản: http://secure-student-login.com,phishing
Thông báo cấm thi: Sinh viên chưa xác minh tài khoản học vụ. Vui lòng cập nhật mật khẩu trong hôm nay.,phishing
"Bạn có 30 phút để xác thực tài khoản, nếu không tài khoản sẽ bị khóa. Click vào liên kết xác minh ngay.",phishing
Phòng Công tác Sinh viên yêu cầu bổ sung mã OTP để hoàn tất xác minh học bổng.,phishing
Cảnh báo bảo mật: tài khoản của bạn bị tạm ngưng. Vui lòng nhập mật khẩu để khôi phục.,phishing
"Cơ hội thực tập lương cao, việc nhẹ lương cao. Chuyển khoản phí xử lý hồ sơ trong hôm nay để giữ suất.",phishing
Bạn đã trúng thưởng laptop. Xác minh thông tin cá nhân và mã OTP để nhận quà ngay.,phishing
Thông báo từ admin: cập nhật thông tin đăng nhập tại http://login-uit-support.com để tránh mất dữ liệu.,phishing
Hạn cuối hôm nay: xác minh tài khoản sinh viên tại link rút gọn bit.ly/verify-uit-now,phishing
Email security team: unauthorized access detected. Verify your account immediately at http://account-secure-login.net,phishing
Your account has been suspended. Login within 24 hours to restore access.,phishing
Official notice: password update required immediately. Click here to continue.,phishing
Claim your reward now. Enter password and OTP to receive your prize.,phishing
Urgent payment required. Transfer processing fee to unlock your internship offer.,phishing
Giảm giá 90% khóa học online chỉ hôm nay. Mua ngay để nhận ưu đãi.,spam
"Flash sale điện thoại, giảm giá cực sốc. Click để mua ngay.",spam
Bạn được mời tham gia nhóm đầu tư lợi nhuận cao. Đăng ký để nhận tư vấn miễn phí.,spam
Nhận voucher miễn phí khi hoàn thành khảo sát quảng cáo.,spam
Mở thẻ tín dụng nhận quà hấp dẫn. Ưu đãi có hạn.,spam
Buy one get one free. Limited sale for selected customers only.,spam
"Congratulations, you have been selected for a discount campaign.",spam
Earn money from home with simple tasks. Register today.,spam
Special promotion: subscribe now and receive free gifts.,spam
Investment opportunity with guaranteed profit. Join our private group.,spam
Phòng Công tác Sinh viên thông báo lịch sinh hoạt công dân đầu khóa. Sinh viên xem chi tiết trên cổng thông tin chính thức của trường.,safe
Lớp mình họp nhóm vào 19h tối nay trên Google Meet. Mọi người chuẩn bị nội dung thuyết trình.,safe
Giảng viên gửi tài liệu bài học tuần này. Các bạn đọc trước chương 3 để thảo luận.,safe
Thông báo lịch bảo trì hệ thống học tập. Sinh viên không cần cung cấp mật khẩu hoặc OTP.,safe
Câu lạc bộ học thuật tổ chức seminar về machine learning vào thứ bảy.,safe
Nhắc nhở nộp bài tập môn Cấu trúc dữ liệu trước Chủ nhật trên hệ thống chính thức.,safe
"Bạn kiểm tra lại phần báo cáo chương 3 giúp mình, không cần bấm link nào nha.",safe
Phòng đào tạo thông báo lịch thi sẽ được cập nhật trên website chính thức của trường.,safe
Nhóm mình gặp ở thư viện chiều nay để sửa slide thuyết trình.,safe
Sinh viên liên hệ giáo vụ khoa qua email chính thức nếu có thắc mắc về học phần.,safe
The professor uploaded lecture notes for this week. Please read chapter 4 before class.,safe
Team meeting at 8 PM. We will review the project slides and assign tasks.,safe
Campus maintenance notice: the learning system will be unavailable from 1 AM to 3 AM.,safe
Your assignment feedback is available on the official course platform.,safe
The student club is hosting a cybersecurity talk next Friday.,safe
"Xác minh ngay tài khoản ngân hàng của bạn. Nếu không thực hiện, tài khoản sẽ bị tạm khóa.",phishing
Công an thông báo bạn liên quan đến vụ án. Chuyển khoản phí xác minh để được hỗ trợ.,phishing
Bạn nhận được học bổng đặc biệt. Nhập thông tin đăng nhập và mã xác thực để nhận tiền.,phishing
Hệ thống yêu cầu cập nhật mật khẩu ngay lập tức tại trang xác minh.,phishing
Tài khoản Google Drive của bạn đầy dung lượng. Đăng nhập lại để tránh mất dữ liệu.,phishing
Your mailbox storage is full. Verify password now to keep your emails.,phishing
Security team requires immediate 2FA verification. Enter your OTP now.,phishing
Final warning: your account will be deleted if you do not login today.,phishing
Thông tin tuyển dụng thực tập được đăng trên fanpage chính thức của khoa. Các bạn tự kiểm tra nguồn trước khi đăng ký.,safe
Nhóm trưởng nhắc mọi người cập nhật tiến độ trong file báo cáo.,safe
Lịch học bù sẽ được thông báo qua hệ thống quản lý đào tạo.,safe
"Bài kiểm tra giữa kỳ sẽ diễn ra tại phòng B1.12, không yêu cầu xác minh tài khoản.",safe
Reminder: submit your code through the official classroom system.,safe
"Khóa học làm giàu nhanh giảm giá trong hôm nay, đăng ký ngay.",spam
"Nhận ưu đãi bảo hiểm đặc biệt cho sinh viên, số lượng có hạn.",spam
"Quảng cáo: mua hosting giá rẻ, tặng domain năm đầu tiên.",spam
"Limited offer: online course discount, pay now to reserve your seat.",spam
"Free voucher for survey participants, click to claim reward.",spam
